Timestamp,Source IP,Source Port,Destination IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Active Mean,Idle Mean,Label
2026-06-14 09:58:01,192.168.1.55,43216,104.105.46.160,6667,7876487,43,27,3655,1566,100,40,60,100,40,60,662.86,8.89,114151.99,6301189.6,393824.35,7482662.65,7088838.3,1720,864,5.46,3.43,40,100,74.59,15.0,1,0,1,1,0,74.59,34398,61924,40,18526,8192296,Botnet
2026-06-14 09:58:03,192.168.1.36,62737,192.168.1.7,80,3610063,27,19,26163,11001,686,0,494,1294,0,450,10294.56,12.74,80223.62,2888050.4,180503.15,3429559.85,3249056.7,864,608,7.48,5.26,0,1294,807.91,323.5,1,0,1,1,0,807.91,29200,28960,32,27078,336190,BENIGN
2026-06-14 09:58:04,192.168.1.169,12954,192.168.1.103,8080,1148228,10,7,5910,1876,1389,0,122,1242,0,220,6780.88,14.81,71764.25,918582.4,57411.4,1090816.6,1033405.2,200,224,8.71,6.1,0,1389,458.0,347.25,1,0,0,1,0,458.0,29200,28960,20,61524,758358,BENIGN
2026-06-14 09:58:04,192.168.1.151,16344,192.168.1.14,80,334813,22,19,2772,14250,839,0,222,1356,0,449,50840.32,122.46,8370.33,267850.4,16740.65,318072.35,301331.7,440,608,65.71,56.75,0,1356,415.17,339.0,1,0,1,1,0,415.17,29200,28960,20,49623,673202,BENIGN
2026-06-14 09:58:03,192.168.1.230,15488,192.168.1.87,443,3416766,8,26,5744,15704,1351,0,393,1094,0,622,6277.28,9.95,103538.36,2733412.8,170838.3,3245927.7,3075089.4,160,832,2.34,7.61,0,1351,630.82,337.75,1,0,1,1,0,630.82,29200,28960,20,72607,369309,BENIGN
2026-06-14 09:58:05,52.182.223.229,14638,192.168.1.100,80,11283,660,5,42240,0,64,40,50,0,0,0,3743685.19,58938.23,16.99,9026.4,564.15,10718.85,10154.7,13200,160,58495.08,443.14,0,64,63.52,16.0,1,0,0,0,0,63.52,512,0,20,95552,114385,DDoS
2026-06-14 09:58:11,195.227.72.210,27295,192.168.1.100,443,3023,520,5,33280,0,64,40,50,0,0,0,11008931.52,173668.54,5.77,2418.4,151.15,2871.85,2720.7,10400,160,172014.56,1653.99,0,64,63.39,16.0,1,0,0,0,0,63.39,512,0,20,28034,516796,DDoS
2026-06-14 09:58:14,192.168.1.171,8231,192.168.1.204,8080,191810,6,30,5760,23550,1459,0,465,1399,0,525,152807.47,187.69,5480.29,153448.0,9590.5,182219.5,172629.0,240,960,31.28,156.4,0,1459,814.17,364.75,1,0,1,1,0,814.17,29200,28960,40,71265,279305,BENIGN
2026-06-14 09:58:05,192.168.1.55,21603,104.44.207.171,6667,31593709,29,28,1740,1736,100,40,60,100,40,60,110.02,1.8,564173.38,25274967.2,1579685.45,30014023.55,28434338.1,1160,896,0.92,0.89,40,100,60.98,15.0,1,0,1,1,0,60.98,48156,30687,40,9104,9265598,Botnet
2026-06-14 09:58:08,192.168.1.29,33963,192.168.1.98,8080,352297,12,28,1572,31332,1137,0,336,1080,0,626,93398.47,113.54,9033.26,281837.6,17614.85,334682.15,317067.3,240,896,34.06,79.48,0,1137,822.6,284.25,1,0,0,1,0,822.6,29200,28960,20,41616,551575,BENIGN
